target,Outstate,Top25perc,perc.alumni,Enroll,PhD,P.Undergrad,Room.Board
1,-0.7463558876654935,-0.19182741580158905,-0.8675741886081831,-0.06350890112710722,-0.16302792483541048,-0.20920713118295584,-0.9649047311227198
1,0.4574963888004467,-1.3539113981033501,-0.5445722027200383,-0.2885842138750081,-2.675645535615127,0.24430704587297267,1.9092078682257194
1,0.20130468533765358,-0.2928781968713074,0.5859347478884687,-0.47812131934692464,-1.2048449829635857,-0.49709004357498005,-0.5543172169300856
1,0.6266326590477276,1.6776120339882006,1.1511882231927222,-0.6924274783748302,1.185205915095169,-0.5207516528126807,0.9967911700198656
0,-0.7165083105630322,-0.5960305400804625,-1.6750791533285452,-0.7807345388787914,0.20467221332747484,0.009005487342505407,-0.21672303859391978
1,0.7609467560088035,0.3134264895470027,-0.9483246850802193,-0.6698122555628402,-0.34687799391685314,-0.5352115251246088,-0.9329701466855149
1,0.7087134960794962,-0.5455051495456033,0.2629327620003238,-0.7290426010228142,1.0626392023742073,-0.4109880766266806,1.2431436785354462
2,0.8524793257896849,0.6165788327561578,1.1511882231927222,-0.3133532674309972,1.0013558460137264,-0.541126927434034,0.42744315033941294
2,1.2820357062559409,0.3639518800818619,0.020681272584215184,-0.5955050948948729,0.3885222824089175,-0.3610357904582015,0.038753636903719246
1,0.006797974553280606,-0.5960305400804625,-0.6253226991920745,-0.6547354403548469,-2.0015286156498373,-0.5108926489636387,-0.8919113952662515
2,1.5190752144113213,0.970256566500172,0.6666852443605048,-0.33166082875498915,0.5723723514903601,-0.489860107419016,0.9566448352988081
2,1.6513994728988999,1.0713073475698904,1.474190209080867,-0.31873784429099483,0.020822144246032185,-0.5332397243548004,0.0752503048319534
2,-0.18671381699434367,0.41447727061672107,-0.14081972035985724,-0.5276594264589028,-0.7758614884402194,-0.14282317193274022,0.39003406571297294
2,0.5301254930831025,0.8692057854304537,0.747435740832541,-0.42535246611894784,0.3885222824089175,-0.5437559951271118,0.177440975031009
1,-0.5195143016867875,-0.4949797590107441,0.2629327620003238,-0.6708891709348397,-2.246662041091761,0.24956518125912835,-0.6546830537327296
2,-0.4329563280896496,-1.7075891318473644,-0.3023207133039296,-0.6030435024988696,0.32723892604843663,-0.3735238620003212,0.3854719822219437
2,2.317995361520536,2.031289767732215,3.250701131465663,-0.3898142588429635,1.24648927145565,-0.5588731343623095,0.8599286652889876
1,-0.0847345952276008,-0.7981321022198992,-0.7060731956641106,-0.3844296819829659,-1.51126176476599,-0.37746746353993804,-0.764173057517432
1,-0.11060249538306728,-1.6570637413125051,-0.38307120977596587,-0.493198134554918,-0.6532947757192576,-0.34789045199281227,-1.1565122377459491
1,-1.3209217468878742,-0.0907766347318707,-1.4328276639124367,0.25418113361275285,-0.7758614884402194,0.4316281190047692,-0.6984790552466106
1,1.2524368589626667,-0.5960305400804625,0.9896872302486497,-0.5685822105948848,-0.2243112811958914,-0.5470423297434591,-0.9320577299873091
2,-0.9040505866901642,0.3639518800818619,-0.7060731956641106,1.216943476180329,0.6336557078508411,0.11811179660523603,-1.6583414217591688
1,0.19085803335179213,-0.24235280633644823,0.1821822655282876,-0.6041204178708691,-1.082278270242624,-0.05803573883097968,-0.21307337180109637
1,-0.7478482665206166,-0.3434035874061666,-1.4328276639124367,3.2103138297514513,0.9400724896532455,4.423210144020209,0.4493411510963534
1,-0.4468851974041316,0.9197311759653128,0.10143176905625138,-0.661196932586844,0.3885222824089175,-0.4425368889436147,-0.3973815448386788
1,-1.7363005282304609,-0.19182741580158905,-1.4328276639124367,0.18418163443278368,-0.959711557521662,0.055014171971367716,-1.5579755849565247
2,0.3878520422280369,0.1618503179424252,0.5859347478884687,-0.3111994366869981,1.24648927145565,-0.10930255884599768,1.4256270181766169
2,-1.0299078701388762,0.060799536872706825,-0.38307120977596587,2.4661653076997787,0.7562224205718029,0.5657105713517394,-0.38734496115841444
1,0.3634765209276935,-1.3033860075684909,0.6666852443605048,-0.5631976337348872,-0.46944470663781496,-0.08498368268502761,0.013205969353955346
2,0.7243834740582884,0.6671042232910169,1.3934397126088307,-0.30473794445500096,0.32723892604843663,-0.5371833258944172,-0.16836495358900955
2,0.13663493494898737,0.111324927407566,0.5859347478884687,-0.5104287805069104,-0.408161350277334,-0.36497939199781826,-1.0160000662222477
2,0.20876657961326892,0.9197311759653128,0.8281862373045773,-0.5222748495989051,0.5110889951298793,-0.5523004651296148,-0.014166531592220267
1,-0.1282623118353569,-0.7981321022198992,-0.9483246850802193,-0.6547354403548469,-0.8371448448007003,-0.20854986425968638,-0.20303678812083198
1,-0.45285471282462386,-0.44445436847588493,-0.14081972035985724,-0.6181203177068629,-0.8984282011611812,-0.25587308273508763,-0.23497137255803688
2,0.13787858399492328,0.26290109901214354,-0.22157021683189343,-0.12704690807507923,-0.28559463755637227,0.39745023899475723,0.04787780388577779
2,-0.18671381699434367,-1.000233664359336,0.9896872302486497,-0.7204272780468179,-0.959711557521662,-0.38732646738897997,-0.05248803291686612
2,2.194625376163696,1.4755104718487637,0.5859347478884687,-0.5330440033189005,1.5529060532580545,-0.5523004651296148,1.6865781938634912
2,1.861824891471252,1.9807643771973555,0.8281862373045773,-0.26812282180701713,0.6336557078508411,-0.5168080512730638,3.4365934210223186
2,0.2112538777051407,-0.5455051495456033,-0.9483246850802193,-0.5395054955508976,0.20467221332747484,1.5042877377805304,0.9146736671813388
2,-0.9925983987607996,0.5155280516864394,1.2319387196647582,1.7090938011841121,-0.10174456847492959,-0.24404227811623733,-0.39920637823509053
2,0.599272380037138,0.010274146337847649,0.5859347478884687,-0.46519833488293033,0.32723892604843663,-0.22103793580180617,0.9511703351095729
